iau_name ,alt_name        ,ra        ,dec      ,class         
1140+0228,Q 1140+0228     ,11 43 19.6,+02 11 47,QSO RADIO LOUD
1331+0234,PKS 1331+025    ,13 33 50.3,+02 18 39,QSO RADIO LOUD
0231+0216,PKS 0231+022    ,02 33 49.1,+02 29 24,QSO RADIO LOUD
0457+0225,PKS 0457+024    ,04 59 51.9,+02 29 31,QSO RADIO LOUD
1546+0246,PKS 1546+027    ,15 49 29.2,+02 37 02,QSO RADIO LOUD
0115+0242,3C  37          ,01 18 18.4,+02 58 06,QSO RADIO LOUD
0044+0303,PKS 0044+030    ,00 47 05.8,+03 19 55,QSO RADIO LOUD
1323+0342,OP 040          ,13 26 26.5,+03 26 27,QSO RADIO LOUD
1222+0347,PKS 1222+037    ,12 24 52.2,+03 30 50,QSO RADIO LOUD
2059+0329,PKS 2059+034    ,21 01 38.7,+03 41 31,QSO RADIO LOUD
0118+0328,3C  39          ,01 21 01.3,+03 44 13,QSO RADIO LOUD
0906+0406,[WB92] 0906+0406,09 09 15.4,+03 54 57,QSO RADIO LOUD
1542+0417,PKS 1542+042    ,15 44 59.4,+04 07 47,QSO RADIO LOUD
1219+0429,PKS 1219+04     ,12 22 22.6,+04 13 13,QSO RADIO LOUD
1402+0429,PKS 1402+044    ,14 05 01.1,+04 15 36,QSO RADIO LOUD
0119+0406,PKS 0119+041    ,01 21 56.8,+04 22 25,QSO RADIO LOUD
1725+0429,PKS 1725+044    ,17 28 24.8,+04 27 05,QSO RADIO LOUD
1614+0506,PKS 1614+051    ,16 16 37.6,+04 59 32,QSO RADIO LOUD
2113+0454,MS 21138+0455   ,21 16 19.3,+05 07 26,QSO RADIO LOUD
0911+0520,4C 05.38        ,09 14 01.8,+05 07 50,QSO RADIO LOUD
2318+0457,PKS 2318+049    ,23 20 44.7,+05 13 49,QSO RADIO LOUD
1656+0519,PKS 1656+053    ,16 58 33.4,+05 15 16,QSO RADIO LOUD
0002+0507,UM  18          ,00 05 20.1,+05 24 11,QSO RADIO LOUD
1614+0534,1E 16148+055    ,16 17 21.5,+05 26 47,QSO RADIO LOUD
1038+0625,4C 06.41        ,10 41 17.1,+06 10 16,QSO RADIO LOUD
0136+0605,MS 01363+0606   ,01 38 56.9,+06 21 02,QSO RADIO LOUD
1416+0642,3C 298.0        ,14 19 08.1,+06 28 35,QSO RADIO LOUD
1305+0658,3C 281          ,13 07 53.9,+06 42 14,QSO RADIO LOUD
2145+0643,PKS 2145+06     ,21 48 05.4,+06 57 39,QSO RADIO LOUD
0221+0645,PKS 0221+067    ,02 24 28.4,+06 59 23,QSO RADIO LOUD
1236+0746,PKS 1236+077    ,12 39 24.5,+07 30 17,QSO RADIO LOUD
0114+0726,PKS 0114+07     ,01 17 26.1,+07 42 17,QSO RADIO LOUD
0256+0735,PKS 0256+075    ,02 59 27.0,+07 47 39,QSO RADIO LOUD
2320+0755,PKS 2319+07     ,23 22 36.0,+08 12 01,QSO RADIO LOUD
2209+0804,PKS 2209+08     ,22 12 01.6,+08 19 16,QSO RADIO LOUD
0214+0823,Z 0214+083      ,02 17 17.2,+08 37 04,QSO RADIO LOUD
1413+0917,[HB89] 1413+092 ,14 15 45.6,+09 03 18,QSO RADIO LOUD
1220+0939,Q 1220+0939     ,12 23 17.7,+09 23 08,QSO RADIO LOUD
1047+0941,4C 09.37        ,10 50 26.0,+09 25 54,QSO RADIO LOUD
0952+0944,4C 09.35        ,09 54 56.8,+09 29 55,QSO RADIO LOUD
2344+0914,PKS 2344+09     ,23 46 36.9,+09 30 45,QSO RADIO LOUD
